# consumer ,100 contents,200 contents,300 contents
10,1,1,1
20,0.948551527623872,0.720645449327126,0.533105032803641
30,0.822700649042267,0.638797117163084,0.448855148555504
40,0.582475858793731,0.568052809490401,0.350846080598241
50,0.414278929871775,0.475094074877224,0.307349588098088
60,0.286845021370904,0.376765099815039,0.292987621102657
70,0.182250277030236,0.260341858536897,0.22760747451275
80,0.110930821592528,0.148140825307736,0.160978081401952
90,0.04754234605034,0.068888321959309,0.098341035564214
100,0,0,0
200,0.006490422668988,0.009598826455769,0.024880098541963
300,0.0051725502612,0.010013393711334,0.012046929736435
400,0.005421877473484,0.013852924293641,0.013933903502258
500,0.006870349849612,0.010255756106895,0.02079165538268
